laptop_id,product_name,price,link,Loại card đồ họa,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Kích thước màn hình,Công nghệ màn hình,Pin,Hệ điều hành,Độ phân giải màn hình,Loại CPU,Cổng giao tiếp,Tần số quét,Chất liệu tấm nền,Công nghệ âm thanh,Tính năng đặc biệt,Loại đèn bàn phím,Bảo mật,Webcam,Kích thước,Trọng lượng,Wi-Fi,Bluetooth,Khe đọc thẻ nhớ,Chất liệu,Chất liệu vỏ trên,Chất liệu vỏ dưới,Chất liệu vỏ màn hình,Loại màn hình,Hãng sản xuất,Nguồn,Chip AI
laptop-asus-tuf-gaming-f16-fx607vj-rl034w,Asus Tuf Gaming F16 Fx607vj Rl034w,21.490.000đ,https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vj-rl034w.html,NVIDIA GeForce RTX 3050 6GB GDDR6Intel Iris Xe Graphics,16GB,DDR4-3200 SO-DIMM,"2 khe (1 x 16GB, nâng cấp tối đa 64GB)","512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, tối đa 2TB)",16 inches,Độ sáng 300nitsĐộ phủ màu NTSC 45%Màn hình chống chói,"56WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,1920 x 1200 pixels (WUXGA),"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)",1x Cổng LAN RJ451x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort / cấp nguồn (tốc độ dữ liệu lên đến 10Gbps)2x USB 3.2 Gen 1 Type-A (tốc độ dữ liệu lên đến 5Gbps)1x HDMI 2.1 FRL1x 3.5mm Combo Audio Jack,144 Hz,Tấm nền IPS,Hệ thống 2 loaCông nghệ chống ồn AIDolby AtmosChứng nhận Hi-Res (cho tai nghe),"Wi-Fi 6, MUX Switch",Bàn phím Chiclet có đèn nền RGB 1 vùng Với phím CopilotMUX Switch + NVIDIA Advanced Optimus,Mật khẩu quản trị viên BIOS và bảo vệ mật khẩu người dùngKhe Kensington SecurityMô-đun nền tảng đáng tin cậy (Phần mềm TPM),720P HD camera,35.4 x 25.1 x 2.21 ~ 2.67 cm (Dài x Rộng x Dày),2.20 Kg,Wi-Fi 6(802.11ax) (Dual band) 2*2,Bluetooth 5.3,,,,,,,,,
laptop-acer-gaming-aspire-7-a715-59g-57tu,Acer Gaming Aspire 7 A715 59g 57tu,18.990.000đ,https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-59g-57tu.html,"NVIDIA GeForce RTX 3050 6 GB, supporting 2560 NVIDIA CUDA Cores",16GB,DDR4 3200 MT/s,2 khe (Máy nguyên bản 16GB),512GB PCIe NVMe SSD (Nâng cấp tối đa 4TB),15.6 inches,Độ sáng 250nitsĐộ phủ màu 45% NTSCAcer ComfyViewMàn hình LCD TFT có đèn nền LEDGóc nhìn rộng lên đến 170 độThiết kế siêu mỏng,"Pin Li-ion 3 cell 54,8WhBộ đổi nguồn AC 150W",Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"Intel Core i5-12450H (8 lõi / 12 luồng, Tần số Turbo tối đa của E-core : 3.3 GHz, Tần số Turbo tối đa của P-core : 4.4 GHz, 12 MB Intel Smart Cache)","2x cổng USB Type-C2x cổng USB Standard-ACổng HDMI 2.1 có hỗ trợ HDCPCổng Ethernet (RJ-45)Giắc cắm 3.5 mm, hỗ trợ tai nghe có micrô tích hợpGiắc cắm DC-in cho bộ đổi nguồn ACĐầu đọc thẻ microSDMini DisplayPort 1.4",144Hz,Tấm nền IPS,Hai loa stereo tích hợpHai micrô kỹ thuật số tích hợp,Viền màn hình siêu mỏng,"Một vùng, 15 màu","Người dùng BIOS, giám sát viên",720p HD,359.5 x 238 x 22.7 mm (Dài x Rộng x Dày),1.99 kg,802.11a/b/g/n/ac+ax wireless LAN,,Có,Vỏ nhựa - nắp lưng kim loại,Nhựa,Nhựa,,,,,
laptop-hp-15-fc0086au-a6vv9pa,Hp 15 Fc0086au A6vv9pa,12.290.000đ,https://cellphones.com.vn/laptop-hp-15-fc0086au-a6vv9pa.html,AMD Radeon Graphics,16GB,DDR4-3200 MT/s,2 x 8GB,512 GB PCIe NVMe M.2 SSD,15.6 inches,Độ sáng 250 nitsĐộ phủ màu 45% NTSCMàn hình chống chói,"3-cell, 41 Wh Li-ion polymer",Windows 11 Home,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7430U (up to 4.3 GHz max boost clock, 16 MB L3 cache, 6 lõi, 12 luồng)",1x USB Type-C (chỉ hỗ trợ truyền dữ liệu và không hỗ trợ sạc hoặc màn hình ngoài)2x USB Type-A1x AC smart pin1x HDMI 1.4b1x headphone/microphone combo,,Tấm nền SVA,Dual speakers,"Viền màn hình siêu mỏng, Wi-Fi 6","Bàn phím màu xám mềm, kích thước đầy đủ với bàn phím số",Quản lý bảo mật Phím tắt tiếng micrôMàn trập riêng tư của cameraHỗ trợ Mô-đun nền tảng đáng tin cậy (Phần mềm TPM),HP True Vision 720p HD camera,35.98 x 23.6 x 1.86 cm (Dài x Rộng x dày),1.59 kg,Realtek Wi-Fi 6 (2x2),Bluetooth 5.3,Không,Vỏ nhựa,Nhựa,Nhựa,,,,,
laptop-acer-aspire-lite-16-gen-2-al16-52p-572a,Acer Aspire Lite 16 Gen 2 Al16 52p 572a,13.990.000đ,https://cellphones.com.vn/laptop-acer-aspire-lite-16-gen-2-al16-52p-572a.html,Intel Iris Xe Graphics,16GB,DDR5 4800 MT/s,"2 khe (1x 6GB, nâng cấp tối đa 64GB)",512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB SSD),16 inches,"Độ sáng 300 nitsĐộ phủ màu NTSC 45%""Acer ComfyView LED-backlit TFT LCDGóc nhìn rộng lên đến 170 độ",58Whr 3-cell 65W PD Type-C Adapter,Windows 11 Home SL,1920 x 1200 pixels (FullHD+),"Intel Core i5-1334U (10 lõi / 12 luồng, 3.4 GHz - 4.6 GHz, 12 MB Intel Smart Cache)","1x USB Type-C (USB 3.2 Gen 2 (up to 10 Gbps) / DisplayPort / Sạc)3x USB-A 3.2 Gen 1Khe thẻ nhớ microSD lên đến 512 GB (tương thích SDXC, tương thích exFAT)Cổng HDMI 1.4 hỗ trợ HDCPGiắc cắm tai nghe/loa 3.5 mm, hỗ trợ tai nghe có micrô",60 Hz,Tấm nền IPS,Hai loa stereo tích hợpHai micrô kỹ thuật số tích hợp,Wi-Fi 6,Không,"BIOS user, supervisor, SDD passwords",Camera FHD Camera MISC 2M FHD Camera_CTE,357.6 x 247 x 18.9 mm (Dài x Rộng x Dày),1.7 kg,Intel Wireless Wi-Fi 6 AX201,Bluetooth 5.1,Có,Vỏ nhựa,Nhựa,Nhựa,Nhựa,,,,
macbook-air-m2-2022-16gb,Macbook Air M2 2022 16gb,20.090.000đ,https://cellphones.com.vn/macbook-air-m2-2022-16gb.html,"8 nhân GPU, 16 nhân Neural Engine",16GB,,,256GB,13.6 inches,Liquid Retina Display,"52,6 Wh",MacOS,2560 x 1664 pixels,Apple M2 8 nhân,2 x Thunderbolt 3Jack tai nghe 3.5 mmMagSafe 3,,Tấm nền IPS,"3 microphones, 4 Loa",,,Vân tay,1080p FaceTime HD camera,"Dày: 1,13cm - Chiều dài: 30,41cm Chiều rộng: 21,5cm",1.27 kg,802.11ax Wi-Fi 6,5.0,,Vỏ kim loại,,,,,,,
laptop-asus-gaming-v16-v3607vu-rp343w,Asus Gaming V16 V3607vu Rp343w,23.990.000đ,https://cellphones.com.vn/laptop-asus-gaming-v16-v3607vu-rp343w.html,NVIDIA GeForce RTX 4050 6GB GDDR6 (194 AI TOPs)Intel Graphics,16GB,DDR5,Có thể nâng cấp; Cần tháo vỏ dưới/trên,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,Màn hình chống chóiĐộ sáng 300nitsĐộ phủ màu 45% NTSC,"63WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1200 pixels (WUXGA),"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)",1x USB 3.2 Gen 1 Type-C hỗ trợ hiển thị/sạc (5Gbps)2x USB 3.2 Gen 1 Type-A (5Gbps)1x HDMI 2.1 FRL1x Giắc cắm âm thanh kết hợp 3.5mm1x DC-in,144Hz,,SonicMasterLoa tích hợpMicrô tích hợp,Wi-Fi 6,Bàn phím Chiclet có đèn nền với phím số,Mật khẩu người dùng thiết lập BIOSTrusted Platform Module (Firmware TPM),1080p FHD với màn trập camera,35.70 x 25.07 x 1.80 ~ 2.20 cm (Dài x Rộng x Dày),1.95 kg,Wi-Fi 6(802.11ax) (Dual band) 2*2,Bluetooth 5.3,,Vỏ nhựa,Nhựa,Nhựa,Nhựa,,,,
apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025,Macbook Air 13 M4 10cpu 8gpu 16gb 256gb 2025,25.090.000đ,https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025.html,GPU 8 lõiNeural Engine 16 lõiCông nghệ dò tia tốc độ cao bằng phần cứngBăng thông bộ nhớ 120GB/s,16GB,,,256GB,13.6 inches,Màn hình Liquid RetinaCó đèn nền LEDMật độ 224 pixel mỗi inchĐộ sáng 500 nitHỗ trợ một tỷ màuDải màu rộng (P3)Công nghệ True Tone,Thời gian xem video trực tuyến lên đến 18 giờThời gian duyệt web trên mạng không dây lên đến 15 giờPin Li-Po 53.8 watt‑giờ tích hợp,macOS,2560 x 1664 pixels,CPU 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện,Cổng sạc MagSafe 3Jack cắm tai nghe 3.5 mmHai cổng Thunderbolt 4 (USB-C) hỗ trợ: Sạc  / DisplayPort / Thunderbolt 4 (lên đến 40Gb/s) / USB 4 (lên đến 40Gb/s),,Tấm nền IPS,"Hệ thống âm thanh bốn loaHỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợpÂm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods, AirPods Pro, và AirPods Max","Wi-Fi 6, Bảo mật vân tay","Bàn phím Magic Keyboard có đèn nềnBàn di chuột Force Touch để điều khiển con trỏ chính xác và cảm ứng lực; hỗ trợ Bấm Mạnh, bộ tăng tốc, vẽ cảm ứng lực, và các thao tác Multi‑Touch",Touch ID,Camera 12MP Center Stage có hỗ trợ chế độ Desk ViewQuay video HD 1080pBộ xử lý tín hiệu hình ảnh tiên tiến với video điện toán,Cao: 1.13 cm x  Rộng: 30.41 cm x Dài: 21.5 cm,1.24 kg,Wi-Fi 6E (802.11ax),Bluetooth 5.3,Không,Vỏ kim loại,Nhôm,Nhôm,,,,,
laptop-gaming-acer-nitro-v-anv15-41-r7ap,Gaming Acer Nitro V Anv15 41 R7ap,17.690.000đ,https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-41-r7ap.html,NVIDIA GeForce RTX 2050 4GB GDDR6 VRAM,16GB,DDR5 4800 MT/s,2 khe (2 x 8GB),"512GB PCIe NVMe SSD, (Nâng cấp tối đa 4TB PCIe Gen4 NVMe SSD​)",15.6 inches,Độ sáng 300nitsĐộ phủ màu 100% sRGBAcer ComfyVieMàn hình LCD TFT có đèn nền LEDGóc nhìn rộng lên đến 170 độ,57Whr 4-cell Adapter: 135W AC adapter,Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7535HS (6 lõi, 12 luồng, 3.3GHz, 4.55GHz, 3MB L2 cache, 16MB L3 cache)","1x USB Type-C3x USB Standard A1x Cổng HDMI 2.1 hỗ trợ HDCP1x Giắc cắm tai nghe/loa 3,5 mm, hỗ trợ tai nghe có micrô tích hợp1x Cổng Ethernet (RJ-45)1x Giắc cắm DC-in cho bộ đổi nguồn AC",180 Hz,Tấm nền IPS,DTS® X:Ultra AudioKết xuất âm thanh sống động qua tai nghe và loa trongDAC SNR caoCông nghệ Acer Purified.VoiceTương thích với Cortana bằng giọng nóiCông nghệ Acer TrueHarmony,Wi-Fi 6,,Giải pháp Firmware Trusted Platform Module (TPM)Người dùng BIOSMật khẩu giám sátKhe khóa Kensington,720p HD video at 30 fps,362.3 x 239.89 x 23.5 mm (W x D x H),2.1 kg,802.11a/b/g/n/ac+ax wireless LAN,Bluetooth 5.1,Không,Vỏ nhựa,Nhựa,Nhựa,Nhựa,,,,
laptop-asus-vivobook-go-14-e1404fa-nk177w,Asus Vivobook Go 14 E1404fa Nk177w,11.890.000đ,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk177w.html,AMD Radeon Graphics,16GB,LPDDR5 onboard,,SSD 512GB M.2 NVMe PCIe 3.0,14 inches,Tỉ lệ 16:9Độ sáng tối đa 250nitsĐộ phủ màu 45% NTSCMàn hình chống chóiCông nghệ LCD,"42WHrs, 3S1P, Li-ion 3 cell",Windows 11 Home,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7520U (4MB cache, up to 4.3 GHz, 4 lõi/8 luồng)",1 x USB 2.0 Type-A1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C1 x HDMI 1.41 x Jack cắm tai nghe 3.5 mm1 x Đầu vào DC,60 Hz,Tấm nền TN,SonicMasterLoa tích hợpMicrô mảng tích hợp,"Wi-Fi 6, Bảo mật vân tay",,McAfee LiveSafe 30 ngày dùng thử miễn phíCảm biến vân tay tích hợp với TouchpadMcAfee LiveSafeKhởi động BIOS bảo vệ mật khẩu người dùngMô-đun nền tảng đáng tin cậy (Firmware TPM),720p HD với màn trập camera,32.45 x 21.39 x 1.79 ~ 1.79 cm,1.30 kg,Wi-Fi 6E(802.11ax),Bluetooth 5,,Vỏ nhựa,,,,Màn hình,ASUS,,
laptop-msi-modern-14-c12mo-660vn,Msi Modern 14 C12mo 660vn,11.790.000đ,https://cellphones.com.vn/laptop-msi-modern-14-c12mo-660vn.html,Intel Iris Xe Graphics,16GB,DDR4 3200MHz Onboard,,512GB SSD M.2 PCIe NVMe Gen3 x4,14 inches,"Chống chói, góc mở 180 độ",39Wh,Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-1235U (10 lõi / 12 luồng, Up to 4.4GHz)",1x USB 3.2 Gen2 Type-A2x USB 2.01x USB Type-C (tích hợp Display Port) hỗ trợ sạc PD1x HDMI (4K 60Hz)1x Đầu đọc thẻ MicroSD1x Mic-in/ Headphone-out combo jack,,Tấm nền IPS,Hi-Res Audio,Wi-Fi 6,LED trắng,,HD Camera (30FPS 720P),320 x 223 x 19.5 mm,1.4 kg,Wi-Fi 6 802.11 ax,Bluetooth 5.2,Có,,,,,,,,
